Time(UTC) TiltAngle(Deg)
16200 -6.13
16320 -6.13
16440 -6.13
16560 -6.13
16680 -6.13
16800 -6.13
16920 -6.13
17040 -6.13
17160 -6.13
17280 -6.13
17400 -6.13
17520 -6.13
17640 -6.13
17760 -6.13
17880 -6.13
18000 -6.13
18120 -6.13
18240 -6.13
18360 -6.13
18480 -6.13
18600 -6.13
18720 -6.13
18840 -6.13
18960 -6.13
19080 -6.13
19200 -6.13
19320 -6.13
19440 -6.1
19560 -6.04
19680 -6.13
19800 -6.13
19920 -6.13
20040 -6.13
20160 -6.13
20280 -6.13
20400 -6.13
20520 -6.13
20640 -6.13
20760 -6.13
20880 -6.13
21000 -6.13
21120 -6.13
21240 -6.13
21360 -6.13
21480 -6.13
21600 -6.13
21720 -6.13
21840 -6.13
21960 -6.13
22080 -6.13
22200 -6.13
22320 -6.13
22440 -6.13
22560 -6.13
22680 -6.13
22800 -6.13
22920 -6.13
23040 -6.13
23160 -6.13
23280 -6.13
23400 -6.13
23520 -6.13
23640 -6.13
23760 -6.13
23880 -6.13
24000 -6.13
24120 -6.13
24240 -6.13
24360 -6.13
24480 -6.13
24600 -6.13
24720 -6.13
24840 -6.13
24960 -6.13
25080 -6.13
25200 -6.13
25320 -6.13
25440 -6.13
25560 -6.13
25680 -6.13
25800 -6.13
25920 -6.13
26040 -6.13
26160 -6.13
26280 -6.13
26400 -6.13
26520 -6.13
26640 -6.22
26760 -6.13
26880 -6.13
27000 -6.13
27120 -6.13
27240 -6.13
27360 -6.13
27480 -6.22
27600 -6.13
27720 -6.13
27840 -6.28
27960 -6.22
28080 -6.28
28200 -6.16
28320 -5.81
28440 -5.81
28560 -5.81
28680 -5.81
28800 -5.81
28920 -5.81
29040 -5.81
29160 -5.81
29280 -5.81
29400 -5.81
29520 -5.81
29640 -6.48
29760 -7.61
29880 -8.63
30000 -9.62
30120 -9.62
30240 -9.62
30360 -9.62
30480 -9.62
30600 -9.62
30720 -9.62
30840 -9.62
30960 -9.62
31080 -9.62
31200 -9.62
31320 -9.62
31440 -9.62
31560 -9.62
31680 -9.62
31800 -9.62
31920 -9.62
32040 -9.62
32160 -9.62
32280 -9.62
32400 -9.62
32520 -9.62
32640 -9.62
32760 -9.62
32880 -9.62
33000 -9.71
33120 -9.62
33240 -9.62
33360 -9.62
33480 -9.77
33600 -9.62
33720 -9.62
33840 -9.74
33960 -9.62
34080 -9.62
34200 -9.62
34320 -9.62
34440 -9.62
34560 -9.62
34680 -9.62
34800 -9.62
34920 -9.62
35040 -9.62
35160 -9.62
35280 -9.62
35400 -9.62
35520 -9.62
35640 -9.62
35760 -9.77
35880 -9.77
36000 -9.77
36120 -9.77
36240 -9.77
36360 -9.77
36480 -9.91
36600 -9.94
36720 -9.94
36840 -9.94
36960 -9.94
37080 -9.94
37200 -9.94
37320 -9.94
37440 -9.94
37560 -9.94
37680 -9.94
37800 -10.1
37920 -10.1
38040 -10.1
38160 -10.1
38280 -10.1
38400 -10.1
38520 -10.1
38640 -10.1
38760 -10.3
38880 -10.3
39000 -10.2
39120 -10.2
39240 -10.3
39360 -10.3
39480 -10.3
39600 -10.3
39720 -10.3
39840 -10.3
39960 -10.3
40080 -10.3
40200 -10.3
40320 -10.3
40440 -10.4
40560 -10.4
40680 -10.4
40800 -10.4
40920 -10.4
41040 -10.4
41160 -9.94
41280 -9.45
41400 -9.53
41520 -9.59
41640 -10.3
41760 -10.4
41880 -10.4
42000 -10.4
42120 -10.4
42240 -10.6
42360 -10.6
42480 -10.6
42600 -10.6
42720 -10.6
42840 -10.6
42960 -10.6
43080 -10.6
43200 -10.6
43320 -10.6
43440 -10.4
43560 -9.27
43680 -7.96
43800 -6.8
43920 -6.13
44040 -4.33
44160 -4.15
44280 -4.15
44400 -4.15
44520 -3.66
44640 -3.69
44760 -3.8
44880 -3.66
45000 -3.66
45120 -3.66
45240 -3.66
45360 -3.8
45480 -3.77
45600 -3.8
45720 -3.66
45840 -4.97
45960 -6.22
46080 -7.12
46200 -8.78
46320 -9.94
46440 -10.4
46560 -10.4
46680 -10.4
46800 -10.3
46920 -10.4
47040 -10.3
47160 -10.4
47280 -10.4
47400 -10.4
47520 -10.4
47640 -10.4
47760 -10.4
47880 -10.4
48000 -10.4
48120 -10.4
48240 -10.4
48360 -10.4
48480 -10.4
48600 -10.4
48720 -10.4
48840 -10.4
49080 -10.4
49200 -10.5
49320 -10.4
49440 -10.4
49560 -10.5
49680 -10.6
49800 -10.5
49920 -10.6
50040 -10.4
50160 -10.4
50280 -10.4
50400 -10.4
50520 -10.3
50640 -10.4
50760 -10.4
50880 -10.4
51000 -10.4
51120 -10.4
51240 -10.4
51360 -10.4
51480 -10.4
51600 -10.4
51720 -10.4
51840 -10.4
51960 -10.4
52080 -10.4
52200 -10.4
52320 -10.4
52440 -10.4
53400 -10.5
53520 -10.4
53640 -10.4
53760 -10.4
53880 -10.4
54000 -10.6
54120 -10.6
54240 -10.6
54360 -10.6
54480 -10.6
54600 -10.6
54720 -10.6
54840 -10.6
54960 -10.6
55080 -10.6
55200 -10.6
55320 -10.6
55440 -10.6
55560 -10.6
55680 -10.6
55800 -10.6
55920 -10.6
56040 -10.6
56160 -10.6
56280 -10.6
56400 -10.6
56520 -10.6
56640 -10.6
56760 -10.7
56880 -10.7
57000 -10.8
57360 -10.8
57480 -10.8
57600 -10.8
57720 -10.8
57840 -10.8
57960 -10.8
58080 -10.8
58200 -10.8
58320 -10.8
58440 -10.8
58560 -10.8
58680 -10.8
58800 -10.8
58920 -10.8
59040 -10.8
59160 -10.8
59280 -10.8
59400 -10.8
59520 -10.8
59640 -10.8
59760 -10.9
59880 -10.9
60000 -10.9
60120 -10.9
60240 -10.8
60360 -10.9
60480 -10.8
60600 -10.9
60720 -10.9
60840 -10.9
60960 -10.9
61080 -10.9
61200 -10.9
61320 -10.9
61440 -10.9
61560 -10.9
61680 -10.9
61800 -10.9
61920 -10.9
62040 -10.9
62160 -10.9
62280 -10.9
62400 -10.9
62520 -10.9
62640 -10.9
62760 -10.9
62880 -10.8
63000 -10.9
63120 -10.8
63600 -10.8
63720 -10.8
63840 -10.8
63960 -10.8
64080 -10.8
64200 -10.8
64320 -10.8
64440 -10.8
64560 -10.8
64680 -10.7
64800 -10.6
64920 -10.7
65400 -10.6
65520 -10.6
65640 -10.6
65760 -10.5
66240 -10.4
66360 -10.4
66480 -10.4
66600 -10.4
66720 -10.4
66840 -10.3
66960 -10.3
67080 -10.3
67200 -10.3
67320 -10.3
67440 -10.2
67560 -10.1
67680 -10.1
67800 -10.1
67920 -10.1
68040 -9.94
68160 -9.94
68280 -9.94
68400 -9.94
68520 -9.94
68640 -9.94
68760 -9.85
68880 -9.77
69000 -9.77
69120 -9.77
69240 -9.77
69360 -9.77
69480 -9.62
69600 -9.62
69720 -9.62
69840 -9.62
69960 -9.59
70080 -9.45
70200 -9.45
70320 -9.45
70440 -9.45
70560 -9.27
70680 -9.27
70800 -9.27
70920 -9.27
71040 -9.19
71160 -9.13
71280 -9.13
71400 -9.13
71520 -9.13
71640 -8.95
71760 -8.95
71880 -8.95
72000 -8.95
72120 -8.95
72240 -8.95
72360 -8.95
72480 -8.95
72600 -8.95
72720 -8.95
73200 -8.95
73320 -8.95
73440 -8.95
73800 -8.95
73920 -8.95
74040 -8.95
74160 -8.95
74280 -8.95
91320 -8.95
91440 -8.95
91560 -8.95
91680 -8.95
91800 -8.95
91920 -8.95
92040 -8.95
92160 -8.95
92280 -8.95
92400 -8.95
92520 -8.95
92640 -8.95
92760 -8.95
92880 -8.95
93000 -8.95
93120 -8.95
93240 -8.95
93360 -8.95
93480 -8.95
93600 -8.95
93720 -8.95
93840 -8.95
94080 -8.95
94200 -8.95
94320 -8.95
94440 -8.95
94560 -8.95
94680 -8.95
94800 -8.95
94920 -8.95
95040 -8.95
95160 -8.95
95280 -8.05
95400 -8.11
95520 -7.96
95640 -7.7
95760 -6.48
95880 -6.1
96000 -5.98
96120 -6.01
96240 -5.98
96360 -5.98
96480 -5.81
96600 -5.81
96720 -5.81
96840 -5.81
96960 -5.81
97080 -5.81
97200 -5.81
97320 -5.81
97440 -5.81
97560 -5.81
97680 -5.81
97800 -5.81
97920 -5.81
98040 -5.81
98160 -5.81
98280 -5.81
98400 -5.81
98520 -5.81
98640 -5.81
98760 -5.81
98880 -5.81
99000 -5.81
99120 -5.81
99240 -5.81
99360 -5.81
99480 -5.81
99600 -5.81
99720 -5.81
99840 -5.81
99960 -5.81
100080 -5.81
100200 -5.81
100320 -5.31
100440 -4.47
100560 -3.16
100680 -2.81
100800 -2.81
100920 -3.16
101040 -4.15
101160 -5.63
101280 -6.8
101400 -7.61
101520 -8.46
101640 -8.6
101760 -8.49
101880 -8.6
102000 -8.46
102120 -8.63
102240 -8.46
102360 -8.63
102480 -8.63
102600 -8.6
102720 -8.63
102840 -8.63
102960 -8.63
103080 -8.63
103200 -8.63
103320 -8.63
103440 -8.63
103560 -8.63
103680 -8.63
103800 -8.63
103920 -8.63
104040 -8.63
104160 -8.63
104280 -8.63
104400 -8.63
104520 -8.63
104640 -8.63
104760 -8.63
104880 -8.63
105000 -8.63
105120 -8.63
105240 -8.63
105360 -8.63
105480 -8.63
105600 -8.63
105720 -8.63
105840 -8.63
105960 -8.63
106080 -8.63
106200 -8.63
106320 -8.63
106440 -8.63
106560 -8.63
106680 -8.63
106800 -8.63
106920 -7.61
107040 -6.48
107160 -5.31
107280 -4.33
107400 -3.16
107520 -2.49
107640 -2.43
107760 -1.68
107880 -1.68
108000 -1.68
108120 -1.68
108240 -1.68
108360 -1.74
108480 -1.71
108600 -1.68
108720 -1.82
108840 -1.74
108960 -1.82
109080 -1.82
109200 -1.68
109320 -1.68
109440 -1.68
109560 -1.68
109680 -1.68
109800 -1.71
109920 -1.68
110040 -1.79
110160 -1.74
110280 -1.68
110400 -1.68
110520 -1.68
110640 -1.68
110760 -1.68
110880 -2.17
111000 -3.34
111120 -4.65
111240 -5.81
111360 -6.97
111480 -7.76
111600 -7.61
111720 -7.61
111840 -7.61
111960 -7.79
112080 -7.76
112200 -7.61
112320 -7.61
112440 -7.64
112560 -7.67
112680 -7.79
112800 -7.79
112920 -7.79
113040 -7.79
113160 -7.79
113280 -7.9
113400 -7.96
113520 -7.96
113640 -7.96
113760 -8.11
113880 -8.11
114000 -8.11
114120 -8.11
114240 -8.11
114360 -8.14
114480 -8.28
114600 -8.28
114720 -8.28
114840 -8.28
114960 -8.34
115080 -8.46
115200 -8.46
115320 -8.46
115440 -8.46
115560 -8.46
115680 -8.46
115800 -8.46
115920 -8.6
116040 -8.63
116160 -8.63
116280 -8.63
116400 -8.63
116520 -8.63
116640 -8.78
116760 -8.78
116880 -8.78
117000 -8.78
117120 -8.92
117240 -8.89
117360 -8.95
117480 -8.95
117600 -8.95
117720 -8.95
117840 -8.95
117960 -9.07
118080 -9.13
118200 -9.13
118320 -9.13
118440 -9.13
118560 -9.16
118680 -9.24
118800 -9.19
118920 -9.24
119040 -9.27
119160 -9.27
119280 -9.27
119400 -9.27
119520 -9.45
119640 -9.42
119760 -9.45
119880 -9.45
120000 -9.45
120120 -9.45
120240 -9.45
120360 -9.45
120480 -9.45
120600 -9.45
120720 -9.48
120840 -9.45
120960 -9.62
121080 -9.62
121200 -9.62
121320 -9.62
121440 -9.62
121560 -9.62
121680 -9.77
121800 -9.77
121920 -9.77
122040 -9.85
122160 -9.94
122280 -9.77
122400 -9.77
122520 -9.8
122640 -9.85
122760 -9.88
122880 -9.94
123000 -9.94
123120 -9.94
123240 -9.94
123360 -9.94
123480 -9.94
123600 -9.94
123720 -9.94
123840 -9.94
123960 -9.8
124080 -9.94
124200 -10.1
124320 -10.1
124440 -10.1
124560 -10.1
124680 -10.1
124800 -10.1
124920 -10.3
125040 -10.3
125160 -10.1
125280 -10.2
125400 -10.1
125520 -10.1
125640 -10.1
125760 -10.3
125880 -10.3
126000 -10.4
126120 -10.4
126240 -10.4
126360 -10.4
126480 -10.4
126600 -10.4
126720 -10.4
126840 -10.4
126960 -10.4
127080 -10.5
127200 -10.4
127320 -10.4
127440 -10.4
127560 -10.4
127680 -10.3
127800 -10.4
127920 -10.6
128040 -10.4
128160 -10.1
128280 -10.3
128400 -10.3
128520 -10.3
128640 -10.3
128760 -10.1
128880 -9.97
129000 -9.94
129120 -10.1
129240 -10.1
129360 -10.1
129480 -9.94
129600 -9.8
129840 -9.74
129960 -9.77
130080 -9.85
130200 -9.85
130320 -9.77
130440 -9.45
130560 -9.45
130680 -9.27
130800 -9.27
130920 -9.13
131040 -8.63
131160 -8.46
131280 -7.96
131400 -7.79
131520 -7.64
131640 -7.64
131760 -7.79
131880 -7.96
132000 -7.47
132120 -7.79
132240 -7.47
132360 -7.12
132480 -7.47
132600 -7.61
132720 -7.61
132840 -7.47
